dataset_id,gesture,ax,ay,az,gx,gy,gz
1,drinking,0.0615,0.2190,1.0725,-5.2795,2.5024,1.9913
1,drinking,0.0579,0.2183,1.0852,-5.3024,2.5558,1.9989
1,drinking,0.0608,0.2200,1.0889,-5.6076,2.6855,1.7929
1,drinking,0.0574,0.2197,1.0747,-5.5389,2.6627,1.8082
1,drinking,0.0562,0.2202,1.0806,-5.5618,2.6627,1.9150
1,drinking,0.0562,0.2146,1.0845,-5.4855,2.8915,2.0447
1,drinking,0.0610,0.2129,1.0845,-5.3024,3.0212,2.0218
1,drinking,0.0627,0.2087,1.0801,-5.1270,3.0289,1.9379
1,drinking,0.0623,0.2080,1.0767,-5.2185,3.0212,1.7776
1,drinking,0.0623,0.2102,1.0791,-5.2490,3.0594,1.7700
1,drinking,0.0574,0.2083,1.0828,-5.0964,3.1586,1.7776
1,drinking,0.0537,0.2019,1.0898,-4.9744,3.4866,1.6708
1,drinking,0.0579,0.2036,1.0806,-4.6768,3.6087,1.6174
1,drinking,0.0571,0.2031,1.0762,-4.2496,3.5553,1.7395
1,drinking,0.0613,0.2065,1.0850,-4.0512,3.7308,1.7471
1,drinking,0.0557,0.2041,1.0823,-4.1504,4.1046,1.7090
1,drinking,0.0593,0.1982,1.0857,-4.1351,4.2801,1.5411
1,drinking,0.0623,0.2029,1.0928,-3.9291,4.3030,1.3199
1,drinking,0.0623,0.1997,1.0896,-3.7537,4.4022,1.3199
1,drinking,0.0552,0.2036,1.0938,-3.4637,4.5090,1.5259
1,drinking,0.0571,0.2051,1.0977,-3.2578,4.5547,1.6327
1,drinking,0.0625,0.2080,1.0884,-3.1509,4.6234,1.5335
1,drinking,0.0642,0.2075,1.0867,-2.9984,4.7226,1.5182
1,drinking,0.0591,0.2034,1.0986,-2.8839,4.8523,1.3123
1,drinking,0.0549,0.2063,1.1008,-2.9831,4.9744,1.1444
1,drinking,0.0544,0.2075,1.1025,-2.9678,5.1575,1.1597
1,drinking,0.0623,0.2092,1.1016,-2.8839,5.2567,1.0452
1,drinking,0.0576,0.2034,1.1038,-2.5406,5.3253,0.9842
1,drinking,0.0535,0.2075,1.0994,-2.4490,5.3787,0.9308
1,drinking,0.0535,0.2097,1.1016,-2.5558,5.4855,0.9918
1,drinking,0.0535,0.2112,1.1082,-2.6016,5.4779,1.0376
1,drinking,0.0569,0.2046,1.1082,-2.3956,5.4321,1.0147
1,drinking,0.0508,0.2068,1.1060,-2.1744,5.5466,0.9308
1,drinking,0.0444,0.2043,1.1057,-2.0828,5.4855,0.8469
1,drinking,0.0454,0.2102,1.1052,-1.8768,5.4321,0.7858
1,drinking,0.0503,0.2146,1.1145,-1.8005,5.4474,0.7401
1,drinking,0.0454,0.2158,1.1128,-1.9455,5.3787,0.7248
1,drinking,0.0447,0.2180,1.1006,-1.9150,5.5161,0.7172
1,drinking,0.0466,0.2168,1.1140,-1.8845,5.5771,0.5722
1,drinking,0.0476,0.2190,1.1228,-1.7548,5.3940,0.5112
1,drinking,0.0437,0.2126,1.1113,-1.6479,5.3024,0.5646
1,drinking,0.0386,0.2202,1.1089,-1.6556,5.4016,0.6866
1,drinking,0.0352,0.2275,1.1096,-1.6403,5.3177,0.6790
1,drinking,0.0366,0.2241,1.1140,-1.7319,5.1575,0.6256
1,drinking,0.0352,0.2239,1.1184,-1.8692,5.1727,0.6866
1,drinking,0.0396,0.2209,1.1194,-1.9989,5.2643,0.7248
1,drinking,0.0337,0.2209,1.1106,-1.9608,5.1727,0.9079
1,drinking,0.0320,0.2234,1.1201,-2.0905,4.9057,1.0147
1,drinking,0.0322,0.2224,1.1206,-2.0676,4.8752,0.9613
1,drinking,0.0366,0.2173,1.1169,-2.0294,4.8065,0.9308
1,drinking,0.0320,0.2234,1.1125,-1.8921,4.6234,0.9003
1,drinking,0.0315,0.2192,1.1243,-1.8768,4.3869,0.9232
1,drinking,0.0381,0.2239,1.1311,-1.9989,4.4250,0.9079
1,drinking,0.0291,0.2212,1.1267,-1.9226,4.3716,1.0986
1,drinking,0.0291,0.2239,1.1160,-1.7471,4.0588,1.2054
1,drinking,0.0244,0.2253,1.1189,-1.7929,3.7613,1.3275
1,drinking,0.0251,0.2290,1.1270,-1.9455,3.8452,1.3199
1,drinking,0.0295,0.2256,1.1218,-1.9760,3.9520,1.1673
1,drinking,0.0354,0.2239,1.1223,-2.0370,3.6621,1.1444
1,drinking,0.0344,0.2253,1.1213,-1.9684,3.3417,1.2054
1,drinking,0.0369,0.2214,1.1226,-1.9989,3.1815,1.4038
1,drinking,0.0342,0.2256,1.1104,-2.1439,3.2730,1.4496
1,drinking,0.0286,0.2205,1.1069,-2.1515,3.4332,1.2970
1,drinking,0.0300,0.2227,1.1101,-2.1744,3.0441,1.3199
1,drinking,0.0310,0.2249,1.1067,-2.2430,2.8992,1.3351
1,drinking,0.0315,0.2231,1.1096,-2.2736,2.8610,1.3809
1,drinking,0.0298,0.2224,1.1187,-2.3956,2.8305,1.3046
1,drinking,0.0293,0.2209,1.1096,-2.3651,2.6474,1.3275
1,drinking,0.0320,0.2200,1.1128,-2.2507,2.6398,1.3046
1,drinking,0.0317,0.2261,1.1077,-2.2888,2.4261,1.3809
1,drinking,0.0239,0.2227,1.1113,-2.3727,2.3804,1.4114
1,drinking,0.0303,0.2195,1.1128,-2.3270,2.2888,1.4267
1,drinking,0.0298,0.2234,1.1147,-2.3880,2.1439,1.2207
1,drinking,0.0273,0.2180,1.1160,-2.3727,1.9760,1.1215
1,drinking,0.0295,0.2205,1.1116,-2.2812,1.8082,1.0681
1,drinking,0.0286,0.2158,1.1123,-2.1515,1.7929,1.0986
1,drinking,0.0317,0.2163,1.1084,-2.1210,1.5945,1.3657
1,drinking,0.0352,0.2202,1.1001,-2.1057,1.4420,1.4420
1,drinking,0.0347,0.2246,1.0977,-1.9913,1.4572,1.2360
1,drinking,0.0330,0.2234,1.0972,-2.1439,1.3123,1.0376
1,drinking,0.0305,0.2192,1.0979,-2.2125,1.3351,0.9995
1,drinking,0.0344,0.2188,1.1006,-2.2278,1.3962,1.0452
1,drinking,0.0361,0.2253,1.0989,-2.2049,1.4420,1.2360
1,drinking,0.0339,0.2273,1.0872,-2.2354,1.4267,1.1444
1,drinking,0.0359,0.2258,1.1013,-2.3956,1.4343,1.1063
1,drinking,0.0388,0.2266,1.1008,-2.3804,1.4954,1.0681
1,drinking,0.0422,0.2280,1.0950,-2.2888,1.3657,1.1139
1,drinking,0.0396,0.2329,1.0957,-2.2583,1.4191,1.0834
1,drinking,0.0374,0.2266,1.0930,-2.2812,1.3428,1.1444
1,drinking,0.0339,0.2305,1.0889,-2.3880,1.3123,1.3275
1,drinking,0.0354,0.2244,1.0950,-2.5253,1.3657,1.2360
1,drinking,0.0354,0.2317,1.0884,-2.5101,1.4038,1.2817
1,drinking,0.0334,0.2312,1.0962,-2.5177,1.2054,1.1520
1,drinking,0.0347,0.2283,1.0933,-2.7008,1.1978,1.2360
1,drinking,0.0349,0.2312,1.0957,-2.8229,1.1673,1.2589
1,drinking,0.0298,0.2268,1.0920,-2.9068,1.2436,1.2589
1,drinking,0.0312,0.2354,1.0837,-2.8915,1.2131,1.2589
1,drinking,0.0400,0.2356,1.0823,-2.9144,0.9918,1.3885
1,drinking,0.0317,0.2366,1.0903,-3.0365,0.7477,1.3657
1,drinking,0.0327,0.2319,1.0896,-3.0823,0.7019,1.5030
1,drinking,0.0413,0.2317,1.0859,-3.1433,0.7935,1.6861
1,drinking,0.0420,0.2292,1.0820,-3.2120,0.8469,1.6556
1,drinking,0.0408,0.2266,1.0791,-3.3112,0.7095,1.4954
1,drinking,0.0366,0.2307,1.0828,-3.4790,0.5798,1.5488
1,drinking,0.0405,0.2302,1.0823,-3.4943,0.4120,1.7090
1,drinking,0.0356,0.2278,1.0840,-3.5782,0.5264,1.8768
1,drinking,0.0366,0.2212,1.0837,-3.7918,0.4730,1.8158
1,drinking,0.0371,0.2246,1.0835,-3.7918,0.3128,1.8234
1,drinking,0.0388,0.2307,1.0798,-3.6697,0.1526,1.7700
1,drinking,0.0430,0.2307,1.0796,-3.5248,0.1831,1.8387
1,drinking,0.0417,0.2268,1.0854,-3.6316,0.3357,1.8845
1,drinking,0.0422,0.2251,1.0786,-3.7994,0.4044,1.9608
1,drinking,0.0552,0.2229,1.0815,-4.0283,0.3204,1.9608
1,drinking,0.0518,0.2200,1.0835,-4.0970,0.3281,1.8921
1,drinking,0.0461,0.2253,1.0818,-3.9368,0.3586,1.9531
1,drinking,0.0474,0.2212,1.0806,-3.7918,0.3891,1.9455
1,drinking,0.0457,0.2231,1.0818,-3.7079,0.4120,1.9836
1,drinking,0.0447,0.2229,1.0833,-3.6621,0.4272,2.1744
1,drinking,0.0449,0.2253,1.0762,-3.5858,0.5569,2.2659
1,drinking,0.0459,0.2234,1.0769,-3.6926,0.6256,2.1286
1,drinking,0.0444,0.2253,1.0825,-3.7537,0.5722,2.2354
1,drinking,0.0498,0.2256,1.0830,-3.6240,0.4883,2.0905
1,drinking,0.0496,0.2229,1.0796,-3.4485,0.5951,2.1286
1,drinking,0.0525,0.2170,1.0820,-3.4027,0.5035,2.2202
1,drinking,0.0508,0.2200,1.0730,-3.3112,0.4349,2.2049
1,drinking,0.0508,0.2231,1.0740,-3.0594,0.4959,2.3117
1,drinking,0.0513,0.2202,1.0789,-3.1357,0.5569,2.3346
1,drinking,0.0498,0.2214,1.0667,-3.1357,0.4120,2.3193
1,drinking,0.0513,0.2212,1.0786,-2.9297,0.4654,2.3880
1,drinking,0.0559,0.2190,1.0845,-2.6321,0.5264,2.3270
1,drinking,0.0596,0.2156,1.0706,-2.5787,0.4578,2.3651
1,drinking,0.0522,0.2163,1.0698,-2.5101,0.4272,2.5864
1,drinking,0.0488,0.2163,1.0674,-2.5024,0.5264,2.5101
1,drinking,0.0520,0.2148,1.0779,-2.4643,0.5722,2.3422
1,drinking,0.0571,0.2117,1.0720,-2.3270,0.5341,2.3193
1,drinking,0.0527,0.2136,1.0601,-2.3575,0.5112,2.3804
1,drinking,0.0510,0.2102,1.0647,-2.2583,0.3662,2.3651
1,drinking,0.0603,0.2109,1.0703,-2.2659,0.5417,2.2964
1,drinking,0.0591,0.2136,1.0649,-2.3575,0.6866,2.2507
1,drinking,0.0564,0.2166,1.0679,-2.3422,0.8163,2.4719
1,drinking,0.0605,0.2163,1.0667,-2.2430,0.9003,2.3651
1,drinking,0.0588,0.2100,1.0703,-2.2583,1.0681,2.1515
1,drinking,0.0603,0.2151,1.0645,-2.2583,1.2589,2.0218
1,drinking,0.0642,0.2151,1.0588,-2.2659,1.3275,2.2430
1,drinking,0.0652,0.2158,1.0630,-2.2812,1.6556,2.3193
1,drinking,0.0588,0.2141,1.0586,-2.2736,2.0676,2.1896
1,drinking,0.0640,0.2183,1.0698,-2.2736,2.2049,2.1286
1,drinking,0.0647,0.2163,1.0676,-2.1820,2.2202,1.9989
1,drinking,0.0659,0.2146,1.0684,-2.2278,2.4261,2.0370
1,drinking,0.0603,0.2173,1.0752,-2.0447,2.5406,2.0447
1,drinking,0.0613,0.2122,1.0718,-2.0294,2.5177,1.9760
1,drinking,0.0623,0.2126,1.0703,-2.0981,2.7390,1.9302
1,drinking,0.0659,0.2141,1.0693,-2.0981,2.8992,1.8463
1,drinking,0.0684,0.2205,1.0676,-2.0599,2.9907,1.8616
1,drinking,0.0647,0.2166,1.0798,-2.1591,3.0975,1.7471
1,drinking,0.0654,0.2166,1.0850,-2.1515,3.1281,1.7853
1,drinking,0.0605,0.2163,1.0798,-2.1057,3.1128,1.7700
1,drinking,0.0598,0.2178,1.0737,-2.2812,3.3112,1.7319
1,drinking,0.0613,0.2158,1.0823,-2.4643,3.1586,1.6098
1,drinking,0.0554,0.2219,1.0813,-2.4261,2.9984,1.5030
1,drinking,0.0574,0.2224,1.0891,-2.2964,2.9602,1.6174
1,drinking,0.0596,0.2278,1.0776,-2.3804,3.0441,1.6708
1,drinking,0.0615,0.2256,1.0747,-2.5330,3.1204,1.8234
1,drinking,0.0605,0.2195,1.0789,-2.6169,3.2043,1.7166
1,drinking,0.0591,0.2219,1.0842,-2.5177,3.0899,1.7166
1,drinking,0.0566,0.2256,1.0872,-2.5177,3.1204,1.7319
1,drinking,0.0579,0.2258,1.0762,-2.5864,3.2806,1.8234
1,drinking,0.0549,0.2234,1.0730,-2.6779,3.1738,1.7853
1,drinking,0.0552,0.2271,1.0835,-2.6627,3.0212,1.7319
1,drinking,0.0605,0.2219,1.0884,-2.5101,3.0823,1.8234
1,drinking,0.0581,0.2285,1.0876,-2.4948,3.1891,1.9531
1,drinking,0.0552,0.2266,1.0889,-2.5024,3.1815,1.7929
1,drinking,0.0520,0.2236,1.0901,-2.6398,3.1357,1.6937
1,drinking,0.0623,0.2185,1.0864,-2.6169,3.1281,1.7242
1,drinking,0.0642,0.2261,1.0901,-2.6016,3.1281,1.8311
1,drinking,0.0615,0.2258,1.0928,-2.5711,3.1128,1.8005
1,drinking,0.0549,0.2212,1.0852,-2.6703,3.2883,1.7471
1,drinking,0.0549,0.2170,1.0881,-2.6932,3.2349,1.7548
1,drinking,0.0640,0.2207,1.0898,-2.7466,3.1357,1.8463
1,drinking,0.0667,0.2183,1.0876,-2.7313,3.0594,1.7776
1,drinking,0.0586,0.2163,1.0842,-2.5558,3.1662,1.6785
1,drinking,0.0520,0.2185,1.0896,-2.3880,3.4103,1.6403
1,drinking,0.0605,0.2175,1.0940,-2.3346,3.3951,1.8005
1,drinking,0.0591,0.2170,1.0981,-2.3880,3.4256,1.8158
1,drinking,0.0659,0.2131,1.0891,-2.3956,3.5400,1.8616
1,drinking,0.0691,0.2131,1.0947,-2.1591,3.5095,1.6632
1,drinking,0.0647,0.2136,1.0925,-2.0599,3.3417,1.7471
1,drinking,0.0684,0.2134,1.0964,-2.0294,3.6240,1.8921
1,drinking,0.0679,0.2122,1.0854,-2.0142,3.7460,1.9989
1,drinking,0.0703,0.2161,1.0820,-2.0065,3.7308,1.7090
1,drinking,0.0754,0.2134,1.0933,-2.0294,3.6392,1.6098
1,drinking,0.0662,0.2134,1.0938,-1.9989,3.7155,1.6327
1,drinking,0.0669,0.2078,1.0923,-1.9531,3.8376,1.6861
1,drinking,0.0718,0.2073,1.0874,-1.8005,4.1275,1.6785
1,drinking,0.0720,0.2114,1.0828,-1.6327,4.2496,1.5869
1,drinking,0.0774,0.2092,1.0808,-1.5488,4.1962,1.5640
1,drinking,0.0710,0.2068,1.0896,-1.6098,4.3640,1.3199
1,drinking,0.0703,0.2068,1.0901,-1.5869,4.7073,1.2741
1,drinking,0.0693,0.2080,1.0872,-1.6403,4.9896,1.3199
1,drinking,0.0710,0.2019,1.0916,-1.4420,5.0888,1.3428
1,drinking,0.0742,0.2122,1.0859,-1.3504,5.0125,1.3199
1,drinking,0.0679,0.2078,1.0916,-1.2360,5.0278,1.2817
1,drinking,0.0752,0.2065,1.0879,-1.1826,5.3787,1.1368
1,drinking,0.0720,0.2024,1.0894,-1.1292,5.5237,1.0300
1,drinking,0.0701,0.2041,1.0845,-1.0681,5.5695,1.1368
1,drinking,0.0676,0.2031,1.0913,-0.9155,5.7678,1.2207
