dataset_id,gesture,ax,ay,az,gx,gy,gz
1,driving,0.0461,0.2759,1.0784,-0.2594,2.8381,1.3504
1,driving,0.0447,0.2722,1.0854,-0.2670,2.7695,1.3428
1,driving,0.0449,0.2783,1.0906,-0.3357,2.6550,1.2741
1,driving,0.0554,0.2781,1.0830,-0.4120,2.6779,1.3733
1,driving,0.0535,0.2820,1.0837,-0.3357,2.7237,1.5335
1,driving,0.0417,0.2812,1.0796,-0.5035,2.8610,1.5869
1,driving,0.0476,0.2690,1.0776,-0.7629,2.9678,1.6327
1,driving,0.0469,0.2744,1.0745,-0.7401,3.0136,1.7319
1,driving,0.0410,0.2737,1.0718,-0.7858,3.0518,1.8234
1,driving,0.0454,0.2732,1.0879,-0.8087,2.9755,1.8692
1,driving,0.0449,0.2729,1.0762,-0.8469,2.8381,1.9836
1,driving,0.0452,0.2708,1.0732,-0.8698,3.0518,1.8997
1,driving,0.0461,0.2729,1.0828,-0.9003,3.4409,1.8845
1,driving,0.0432,0.2632,1.0815,-0.9842,3.3569,1.8921
1,driving,0.0410,0.2644,1.0913,-0.7935,3.1433,2.0828
1,driving,0.0442,0.2661,1.0889,-0.6332,3.1281,2.0065
1,driving,0.0396,0.2671,1.0867,-0.4959,3.2730,1.9455
1,driving,0.0408,0.2722,1.0955,-0.3510,3.4409,2.0828
1,driving,0.0447,0.2800,1.0920,-0.1221,3.4409,2.1820
1,driving,0.0408,0.2769,1.0920,-0.0916,3.3035,2.1439
1,driving,0.0466,0.2793,1.0959,-0.0381,3.0823,2.2202
1,driving,0.0464,0.2776,1.0981,0.0763,3.1052,2.1973
1,driving,0.0417,0.2742,1.0945,0.2060,2.9984,2.3041
1,driving,0.0354,0.2761,1.0962,0.3891,2.7084,2.4185
1,driving,0.0361,0.2727,1.1047,0.3738,2.7008,2.5253
1,driving,0.0393,0.2639,1.1152,0.2899,2.5864,2.4796
1,driving,0.0376,0.2722,1.1045,0.2670,2.3117,2.4414
1,driving,0.0356,0.2700,1.1074,0.2136,2.2507,2.4338
1,driving,0.0417,0.2705,1.1074,0.0916,2.3117,2.4719
1,driving,0.0413,0.2732,1.1018,0.0687,2.2278,2.5253
1,driving,0.0417,0.2727,1.1021,0.0381,2.0981,2.6855
1,driving,0.0488,0.2744,1.0896,-0.2213,2.1667,2.7084
1,driving,0.0471,0.2754,1.1003,-0.5341,2.2354,2.6016
1,driving,0.0444,0.2695,1.1001,-0.7629,2.2659,2.4414
1,driving,0.0476,0.2727,1.0913,-0.8240,2.2430,2.2736
1,driving,0.0461,0.2727,1.0923,-0.9613,2.3117,2.2583
1,driving,0.0466,0.2703,1.0999,-1.2360,2.3270,2.2964
1,driving,0.0503,0.2715,1.0962,-1.3351,2.3804,2.3041
1,driving,0.0432,0.2646,1.0925,-1.1673,2.3270,2.3727
1,driving,0.0464,0.2651,1.0850,-1.2589,2.5101,2.2888
1,driving,0.0500,0.2664,1.0837,-1.5640,2.6779,2.2354
1,driving,0.0449,0.2681,1.0835,-1.7014,2.8763,2.3270
1,driving,0.0483,0.2646,1.0803,-1.6403,2.8610,2.3193
1,driving,0.0488,0.2632,1.0771,-1.5869,2.8992,2.1820
1,driving,0.0408,0.2620,1.0801,-1.6327,2.8992,1.9608
1,driving,0.0483,0.2661,1.0840,-1.6174,2.8992,1.9379
1,driving,0.0476,0.2612,1.0784,-1.5945,3.0289,1.9455
1,driving,0.0420,0.2671,1.0801,-1.6174,2.9221,1.9531
1,driving,0.0417,0.2676,1.0876,-1.4038,2.9449,2.0065
1,driving,0.0447,0.2705,1.0955,-1.3885,2.9907,1.8539
1,driving,0.0466,0.2705,1.0938,-1.2970,3.0594,1.8997
1,driving,0.0415,0.2690,1.0942,-1.1978,3.0136,1.9989
1,driving,0.0439,0.2700,1.0942,-1.3962,2.9068,1.9836
1,driving,0.0439,0.2732,1.0923,-1.4343,2.9068,2.1515
1,driving,0.0405,0.2722,1.0979,-1.3504,2.9221,2.2202
1,driving,0.0400,0.2761,1.0969,-1.3275,3.0441,2.1896
1,driving,0.0469,0.2754,1.0891,-1.2894,3.0899,2.2659
1,driving,0.0459,0.2725,1.0884,-1.1826,3.1891,2.4109
1,driving,0.0469,0.2678,1.0923,-1.1444,3.2959,2.4948
1,driving,0.0449,0.2703,1.0845,-1.2054,3.4637,2.5482
1,driving,0.0430,0.2700,1.0835,-1.2512,3.6926,2.6398
1,driving,0.0454,0.2688,1.0806,-1.1139,3.9062,2.7313
1,driving,0.0486,0.2661,1.0825,-0.9155,4.1351,2.8152
1,driving,0.0474,0.2666,1.0879,-0.8698,4.2801,2.7390
1,driving,0.0403,0.2678,1.0862,-0.9460,4.2191,2.7542
1,driving,0.0400,0.2642,1.0835,-1.0757,4.1046,2.7084
1,driving,0.0498,0.2676,1.0874,-1.0300,4.2496,2.8305
1,driving,0.0491,0.2732,1.0811,-0.6866,4.5700,2.8000
1,driving,0.0491,0.2666,1.0850,-0.5264,4.7989,2.7084
