dataset_id,gesture,ax,ay,az,gx,gy,gz
1,throwing,-0.0554,0.3296,1.0361,-2.0065,0.9232,-0.3738
1,throwing,-0.0554,0.3296,1.0361,-2.0218,1.0223,-0.3891
1,throwing,-0.0574,0.3347,1.0320,-2.0523,1.1902,-0.3052
1,throwing,-0.0576,0.3374,1.0400,-2.0370,1.0300,-0.2518
1,throwing,-0.0603,0.3350,1.0315,-2.1133,0.9232,-0.3433
1,throwing,-0.0581,0.3384,1.0295,-2.2812,0.9613,-0.4196
1,throwing,-0.0532,0.3398,1.0347,-2.5940,1.0071,-0.4196
1,throwing,-0.0598,0.3364,1.0444,-2.8000,1.1063,-0.4883
1,throwing,-0.0586,0.3411,1.0452,-2.9831,1.0681,-0.4425
1,throwing,-0.0525,0.3403,1.0403,-3.0746,0.9766,-0.4578
1,throwing,-0.0581,0.3396,1.0344,-3.0365,0.9613,-0.5264
1,throwing,-0.0605,0.3452,1.0356,-3.1052,0.8392,-0.5798
1,throwing,-0.0562,0.3425,1.0388,-3.2425,0.8316,-0.5493
1,throwing,-0.0593,0.3396,1.0288,-3.4027,0.7019,-0.5875
1,throwing,-0.0632,0.3418,1.0322,-3.5019,0.6714,-0.4425
1,throwing,-0.0654,0.3423,1.0273,-3.5858,0.6256,-0.2365
1,throwing,-0.0696,0.3425,1.0288,-3.7079,0.4883,-0.4272
1,throwing,-0.0618,0.3394,1.0342,-3.8300,0.6332,-0.5646
1,throwing,-0.0554,0.3357,1.0374,-3.8147,0.6332,-0.4807
1,throwing,-0.0645,0.3430,1.0320,-3.8757,0.5722,-0.4196
1,throwing,-0.0630,0.3376,1.0244,-4.1199,0.5264,-0.4196
1,throwing,-0.0649,0.3352,1.0342,-4.1199,0.5264,-0.4578
1,throwing,-0.0725,0.3398,1.0320,-3.8071,0.5569,-0.6027
1,throwing,-0.0642,0.3386,1.0349,-3.6087,0.4272,-0.4730
1,throwing,-0.0667,0.3413,1.0391,-3.5782,0.2594,-0.3586
1,throwing,-0.0659,0.3459,1.0315,-3.3798,0.1755,-0.4654
1,throwing,-0.0730,0.3491,1.0361,-3.0441,0.0763,-0.3738
1,throwing,-0.0708,0.3484,1.0303,-2.7618,-0.0687,-0.2365
1,throwing,-0.0703,0.3530,1.0293,-2.6245,0.0229,-0.0458
1,throwing,-0.0728,0.3562,1.0310,-2.4261,0.0229,0.1068
1,throwing,-0.0735,0.3623,1.0283,-2.5024,-0.1831,0.2899
1,throwing,-0.0696,0.3640,1.0283,-2.4261,-0.2289,0.4730
1,throwing,-0.0754,0.3662,1.0242,-2.3804,-0.5188,0.7248
1,throwing,-0.0750,0.3613,1.0186,-2.4414,-0.5112,0.9537
1,throwing,-0.0759,0.3657,1.0256,-2.5101,-0.5417,1.0223
1,throwing,-0.0771,0.3640,1.0266,-2.6855,-0.6485,1.1826
1,throwing,-0.0815,0.3621,1.0212,-2.8687,-0.6256,1.2054
1,throwing,-0.0815,0.3623,1.0120,-2.9297,-0.8316,1.3123
1,throwing,-0.0710,0.3650,1.0115,-2.7771,-1.0300,1.3962
1,throwing,-0.0679,0.3652,1.0125,-2.9297,-0.8926,1.4343
1,throwing,-0.0735,0.3735,1.0132,-3.2959,-0.8316,1.6708
1,throwing,-0.0750,0.3723,1.0244,-3.5172,-0.8011,1.8158
1,throwing,-0.0710,0.3645,1.0115,-3.5934,-0.7553,1.8616
1,throwing,-0.0752,0.3691,1.0159,-3.7231,-0.7172,1.9455
1,throwing,-0.0767,0.3699,1.0249,-3.6697,-0.7477,2.1362
1,throwing,-0.0747,0.3716,1.0266,-3.6621,-0.8087,2.3117
1,throwing,-0.0769,0.3718,1.0210,-3.7460,-0.8621,2.5940
1,throwing,-0.0835,0.3723,1.0132,-3.8376,-0.7095,2.6703
1,throwing,-0.0767,0.3779,1.0203,-3.9673,-0.7858,2.6855
1,throwing,-0.0818,0.3713,1.0244,-4.0054,-0.9995,2.8229
1,throwing,-0.0752,0.3616,1.0273,-4.0359,-1.0376,2.9602
1,throwing,-0.0732,0.3633,1.0242,-4.0436,-1.0681,3.0518
1,throwing,-0.0754,0.3621,1.0090,-4.1046,-1.0834,3.1509
1,throwing,-0.0723,0.3599,1.0100,-4.2038,-1.2589,3.3798
1,throwing,-0.0710,0.3557,1.0115,-4.3182,-1.2360,3.4256
1,throwing,-0.0696,0.3538,1.0100,-4.2038,-1.0452,3.5629
1,throwing,-0.0730,0.3508,1.0098,-4.1809,-0.9918,3.6316
1,throwing,-0.0708,0.3484,1.0125,-4.2419,-1.0910,3.6316
1,throwing,-0.0735,0.3467,1.0088,-4.2648,-0.9537,3.6316
1,throwing,-0.0691,0.3464,1.0193,-4.3488,-0.7782,3.7155
1,throwing,-0.0720,0.3506,1.0225,-4.4479,-0.6409,3.8300
1,throwing,-0.0740,0.3472,1.0190,-4.4785,-0.6332,3.9597
1,throwing,-0.0703,0.3420,1.0154,-4.5242,-0.5493,3.9902
1,throwing,-0.0713,0.3438,1.0259,-4.5547,-0.5722,3.8223
1,throwing,-0.0657,0.3413,1.0247,-4.6234,-0.6561,3.9749
1,throwing,-0.0671,0.3386,1.0234,-4.7302,-0.5798,4.1428
1,throwing,-0.0635,0.3413,1.0259,-4.7531,-0.4807,4.1885
1,throwing,-0.0640,0.3389,1.0195,-4.9210,-0.5722,4.0741
1,throwing,-0.0642,0.3403,1.0305,-5.1498,-0.5493,3.9673
1,throwing,-0.0635,0.3408,1.0334,-5.3864,-0.4425,3.9825
1,throwing,-0.0645,0.3364,1.0190,-5.4779,-0.2975,3.9825
1,throwing,-0.0627,0.3330,1.0181,-5.3635,-0.3204,3.8376
1,throwing,-0.0554,0.3318,1.0254,-5.4092,-0.3357,3.8528
1,throwing,-0.0508,0.3281,1.0251,-5.6763,-0.2441,3.8376
1,throwing,-0.0632,0.3252,1.0205,-5.8823,-0.0534,3.6469
1,throwing,-0.0618,0.3196,1.0193,-6.0654,0.0076,3.4561
1,throwing,-0.0664,0.3179,1.0222,-6.1722,0.1221,3.4790
1,throwing,-0.0583,0.3184,1.0269,-6.2714,0.0839,3.5706
1,throwing,-0.0618,0.3179,1.0247,-6.2790,0.0992,3.5324
1,throwing,-0.0596,0.3157,1.0332,-6.2714,-0.0076,3.3646
1,throwing,-0.0532,0.3152,1.0422,-6.1646,0.0000,3.1815
1,throwing,-0.0474,0.3110,1.0398,-6.1264,0.0305,2.8992
1,throwing,-0.0522,0.3105,1.0332,-6.2790,-0.0610,2.8687
1,throwing,-0.0496,0.3093,1.0461,-6.4468,-0.2441,2.8152
1,throwing,-0.0496,0.3059,1.0388,-6.4697,-0.3967,2.6169
1,throwing,-0.0525,0.3083,1.0410,-6.5155,-0.6409,2.4796
1,throwing,-0.0481,0.3022,1.0369,-6.4621,-0.6638,2.2812
1,throwing,-0.0508,0.3022,1.0381,-6.5155,-0.6332,2.2278
1,throwing,-0.0459,0.2983,1.0366,-6.4545,-0.7706,2.0447
1,throwing,-0.0437,0.2996,1.0352,-6.5765,-0.7095,2.0142
1,throwing,-0.0464,0.2996,1.0322,-6.8359,-0.6866,1.8921
1,throwing,-0.0398,0.2976,1.0286,-6.7978,-0.6561,1.7166
1,throwing,-0.0461,0.2996,1.0315,-6.7291,-0.7477,1.6251
1,throwing,-0.0471,0.2991,1.0376,-6.6757,-0.7172,1.3809
1,throwing,-0.0513,0.2976,1.0476,-6.6605,-0.6485,1.1826
1,throwing,-0.0557,0.2981,1.0366,-6.7673,-0.9079,0.9308
