X,Y,Z
9.246550000000001,1.4976,1.4010275229357796
9.36775,1.5136,1.4032110091743117
9.2819,1.5296,1.4038532110091742
9.4031,1.28,1.4145137614678898
9.246550000000001,1.2,1.4128440366972477
8.8274,1.3184,1.407321100917431
9.02435,1.2576,1.4028256880733945
9.3324,1.0688,1.424532110091743
8.97385,0.6688,1.4251743119266052
8.837499999999999,1.0048,1.3875412844036696
9.5546,1.1456,1.4104036697247706
9.1203,0.976,1.409761467889908
9.1708,0.912,1.4066788990825685
9.36775,1.2256,1.4038532110091742
8.87285,1.28,1.4104036697247706
9.246550000000001,1.312,1.4141284403669723
9.1102,0.96,1.4082201834862385
9.1203,1.216,1.407577981651376
9.3324,1.5616,1.417339449541284
9.221300000000001,1.6768,1.4201651376146787
9.14555,1.6224,1.3991009174311924
8.98395,1.5616,1.4047522935779813
8.9385,1.5616,1.4110458715596328
9.1809,1.4112,1.4125871559633028
9.26675,1.232,1.415412844036697
9.1708,1.0048,1.4084770642201834
9.03445,1.0368,1.4066788990825685
9.31725,1.1232,1.409504587155963
9.14555,1.232,1.3984587155963302
9.393,1.552,1.409761467889908
9.13545,1.6864,1.4038532110091742
9.3425,1.5232,1.4184954128440366
